Word	Annotation	Sense	Part of Speech	Level
ab	ab		prep	A1
ab	ab		adv	A1
Abbau	der Abbau, -e		der	B2+
abbauen, baut ab, baute ab, hat abgebaut	abbauen, baut ab, baute ab, hat abgebaut		verb	B1
abbilden, bildet ab, bildete ab, hat abgebildet	abbilden, bildet ab, bildete ab, hat abgebildet		verb	B2+
Abbildung	die Abbildung, -en (Abb.)		die	B1
abbrechen, bricht ab, brach ab, hat abgebrochen	abbrechen, bricht ab, brach ab, hat abgebrochen		verb	B2+
abdecken, deckt ab, deckte ab, hat abgedeckt	abdecken, deckt ab, deckte ab, hat abgedeckt		verb	B2+
Abend	der Abend, -e		der, adv	A1
Abendessen	das Abendessen, -		das	B2+
Abenteuer	das Abenteuer, -		das	B1
aber	aber		conj, part	A1
Abfahrt	die Abfahrt, -en		die	A1
Abfall	der Abfall, -̈e		der	B1
Abgabe	die Abgabe, -n		die	B2+
abgeben, gibt ab, gab ab, hat abgegeben	abgeben, gibt ab, gab ab, hat abgegeben		verb	A1
abgehen, geht ab, ging ab, ist abgegangen	abgehen, geht ab, ging ab, ist abgegangen		verb	B2+
Abgeordnete	die Abgeordnete		der, die	B1
abgrenzen, grenzt ab, grenzte ab, hat abgegrenzt	abgrenzen, grenzt ab, grenzte ab, hat abgegrenzt		verb	B2+
Abgrenzung	die Abgrenzung, -en		die	B2+
Abgrund	der Abgrund, -̈e		der	B2+
abhalten, hält ab, hielt ab, hat abgehalten	abhalten, hält ab, hielt ab, hat abgehalten		verb	B2+
abhängen, hängt ab, hing ab, hat abgehangen	abhängen, hängt ab, hing ab, hat abgehangen		verb	B1
abhängig	abhängig		adj	B1
Abhängigkeit	die Abhängigkeit, -en		die	B1
abhauen, haut ab, hieb ab, hat abgehauen	abhauen, haut ab, hieb ab, hat abgehauen		verb	B2+
abheben, hebt ab, hob ab, hat abgehoben	abheben, hebt ab, hob ab, hat abgehoben		verb	B1
abholen, holt ab, holte ab, hat abgeholt	abholen, holt ab, holte ab, hat abgeholt		verb	A1
Abitur	das Abitur, -e		das	B1
Abkommen	das Abkommen, -		das	B2+
Ablauf	der Ablauf, -̈e		der	B1
ablaufen, läuft ab, lief ab, hat abgelaufen	ablaufen, läuft ab, lief ab, hat abgelaufen		verb	B1
ablegen, legt ab, legte ab, hat abgelegt	ablegen, legt ab, legte ab, hat abgelegt		verb	B2+
ablehnen, lehnt ab, lehnte ab, hat abgelehnt	ablehnen, lehnt ab, lehnte ab, hat abgelehnt		verb	B1
Ablehnung	die Ablehnung, -en		die	B2+
ableiten, leitet ab, leitete ab, hat abgeleitet	ableiten, leitet ab, leitete ab, hat abgeleitet		verb	B1
Ableitung	die Ableitung, -en		die	B1
ablenken, lenkt ab, lenkte ab, hat abgelenkt	ablenken, lenkt ab, lenkte ab, hat abgelenkt		verb	B2+
ablesen, liest ab, las ab, hat abgelesen	ablesen, liest ab, las ab, hat abgelesen		verb	B2+
ablösen, löst ab, löste ab, hat abgelöst	ablösen, löst ab, löste ab, hat abgelöst		verb	B2+
Abnahme	die Abnahme, -n		die	B2+
abnehmen, nimmt ab, nahm ab, hat abgenommen	abnehmen, nimmt ab, nahm ab, hat abgenommen		verb	B1
abreisen, reist ab, reiste ab, ist abgereist	abreisen, reist ab, reiste ab, ist abgereist		verb	B2+
absagen, sagt ab, sagte ab, hat abgesagt	absagen, sagt ab, sagte ab, hat abgesagt		verb	B1
Absatz	der Absatz, -̈e (Abs.)		der	A2
abschaffen, schafft ab, schaffte ab, hat abgeschafft	abschaffen, schafft ab, schaffte ab, hat abgeschafft		verb	B2+
abschalten, schaltet ab, schaltete ab, hat abgeschaltet	abschalten, schaltet ab, schaltete ab, hat abgeschaltet		verb	B2+
Abschied	der Abschied, -e		der	B1
abschließen, schließt ab, schloss ab, hat abgeschlossen	abschließen, schließt ab, schloss ab, hat abgeschlossen		verb	A2
abschließend	abschließend		adv	B2+
Abschluss	der Abschluss, -̈e		der	B1
abschneiden, schneidet ab, schnitt ab, hat abgeschnitten	abschneiden, schneidet ab, schnitt ab, hat abgeschnitten		verb	B2+
Abschnitt	der Abschnitt, -e		der	B1
Abschreibung	die Abschreibung, -en		die	B2+
absehen, sieht ab, sah ab, hat abgesehen	absehen, sieht ab, sah ab, hat abgesehen		verb	B1
abseits	abseits		adv	B2+
absetzen, setzt ab, setzte ab, hat abgesetzt	absetzen, setzt ab, setzte ab, hat abgesetzt		verb	B2+
Absicht	die Absicht, -en		die	B1
absolut	absolut		adj	B1
absolvieren, absolviert, absolvierte, hat absolviert	absolvieren, absolviert, absolvierte, hat absolviert		verb	B2+
abspielen, spielt ab, spielte ab, hat abgespielt	abspielen, spielt ab, spielte ab, hat abgespielt		verb	B2+
Abstand	der Abstand, -̈e		der	B1
