note_id;last modification time;tags;Rank;Word;IPA;Part-of-Speech 1;Definition 1;Definition 1 Russian;German 1;English 1;Russian 1;Part-of-Speech 2;Definition 2;Definition 2 Russian;German 2;English 2;Russian 2;Part-of-Speech 3;Definition 3;Definition 3 Russian;German 3;English 3;Russian 3;Frequency;WordAudio;Level;WordFamily;Conjugation;SentenceAudio1;SentenceAudio2;SentenceAudio3;Image;Morphology Russain
1679807416696;1784821522;A1 art pron;1;der;deːɐ̯;art;the;определенный артикль;Der Mann und die Frau kochen, das Kind spielt.;"The man and the woman are cooking; the child is playing.";Мужчина и женщина готовят, ребенок играет.;pron;that, those;тот;Das ist der Mann, den ich liebe.;That’s the man I love.;Это тот мужчина, которого я люблю.;pron;who, that;который;Dort steht das Mädchen, das mit mir zur Schule geht.;There’s the girl who goes to school with me.;Там стоит девочка, которая ходит со мной в школу.;98121.3994047137 | 0.985748849292909;;A1;;;;;;;определенный артикль мужского рода
1679807416697;1784821523;A1 conj;2;und;ʊnt;conj;and;и;Die Eltern und Kinder essen und sprechen über ihren Tag.;The parents and children eat and talk about their day.;Родители и дети едят и говорят о своем дне.;;;;;;;;;;;;;26562.1138941099 | 0.976565375470124;;A1;;;;;;;союз
1679807416698;1784821524;A1 prep;3;in;ɪn;prep;in;в;Günter geht in den Keller.;Günter goes into the basement.;Гюнтер идет в подвал.;;;;;;;;;;;;;24319.0219460678 | 0.977144419461825;;A1;;;;;;;in (предлог)
1679807416699;1784821626;A1 aux verb;4;sein, ist, war, ist gewesen;zaɪ̯n;verb;to be;быть;Ich bin Lehrer und du bist Polizist und damit sind wir glücklich.;I’m a teacher, and you’re a police officer, and we’re happy with that.;Я учитель, а ты полицейский, и поэтому мы счастливы.;aux;(past tense);быть;Janosch ist heute Morgen in die Schule gefahren.;Janosch went to school this morning.;Янош сегодня утром поехал в школу.;;;;;;;23948.8531272045 | 0.966774501407212;;A1;;ichbindubister/sie/esistwirsindihrseidsie/SiesindPrät. ich war | Perf. ich bin gewesen;;;;;глагол-связка, изъявительное наклонение, формы: инфинитив, наст. вр., прош. вр., перфект
1679807416700;1784821627;A1 art pron;5;ein;aɪ̯n;art;a, an;неопределенный артикль;Er wohnt in einem Hotel.;He’s staying at a hotel.;Он живет в отеле.;pron;one (of);один;Eines der Kinder hat sich beim Spielen verletzt.;One of the children was injured while playing.;Один из детей поранился во время игры.;;;;;;;22328.803944183 | 0.983236013304992;;A1;;;;;;;ein: корень слова, выступающий в роли неопределенного артикля или числительного.
1679807416701;1784821655;A1 aux verb;6;haben, hat, hatte, hat gehabt;ˈhaːbn̩;verb;to have;иметь;Ich habe ein Buch in der Hand.;I have a book in my hand.;У меня в руке книга.;aux;(past tense);;Sie hat sich gestern einen Film angesehen.;She was watching a movie yesterday.;Вчера она посмотрела фильм.;;;;;;;12452.0335431794 | 0.941569945956103;;A1;;ichhabeduhaster/sie/eshatwirhabenihrhabtsie/SiehabenPrät. ich hatte | Perf. ich habe gehabt;;;;;
1679807416702;1784821657;A1 pron;7;sie;ziː;pron;she, her;она;Paul besucht Anna, sie ist Pauls Tante.;"Paul visits Anna; she’s Paul’s aunt.";Пауль навещает Анну, она тетя Пауля.;pron;they, them;они;Petra und Klaus kochen, sie bekommen Besuch.;"Petra and Klaus are cooking; they have a visitor.";Петра и Клаус готовят, они ожидают гостей.;pron;you;вы;Ich bitte Sie um Ihr Verständnis.;I ask you for your understanding.;Я прошу вас о понимании.;10186.3697246754 | 0.939017458725529;;A1;;;;;;;
1679807416703;1784821658;A1 aux verb;8;werden, wird, wurde, ist geworden;ˈveːɐ̯dn̩;verb;to become, get;становиться;Der Junge wird zum Mann.;The boy becomes a man.;Мальчик становится мужчиной.;aux;(future tense);будущее время;Ich werde bald als Lehrer arbeiten.;I’ll be working as a teacher soon.;Я скоро буду работать учителем.;aux;(passive voice);быть;Das Auto wird gefahren.;The car is being driven.;Машину ведут.;10166.3113157715 | 0.975331568209246;;A1;;ichwerdeduwirster/sie/eswirdwirwerdenihrwerdetsie/SiewerdenPrät. ich wurde | Perf. ich bin geworden;;;;;
1679807416704;1784821659;A1 prep;9;von;fɔn;prep;from, of;от;Benjamin ist der Bruder von Anna.;Benjamin is the brother of Anna.;Беньямин — брат Анны.;;;;;;;;;;;;;10060.1052440566 | 0.979008027636438;;A1;;;;;;;
1679807416705;1784821661;A1 pron;10;ich;ɪç;pron;I;я;Ich arbeite und du bleibst zu Hause.;I work and you stay home.;Я работаю, а ты остаешься дома.;;;;;;;;;;;;;9785.54653151669 | 0.890874681457969;;A1;;;;;;;
