Word	Annotation	Sense	Part of Speech	Level	Russian	English
ab	ab		prep	A1	выкл.	off, away
ab	ab		adv	A1	выкл.	off, away
Abbau	der Abbau, -e		der	B2+	демонтаж	reduction, decline, mining
abbauen, baut ab, baute ab, hat abgebaut	abbauen, baut ab, baute ab, hat abgebaut		verb	B1	демонтировать	to reduce, dismantle
abbilden, bildet ab, bildete ab, hat abgebildet	abbilden, bildet ab, bildete ab, hat abgebildet		verb	B2+	изображать	to copy, portray
Abbildung	die Abbildung, -en (Abb.)		die	B1	иллюстрация	illustration
abbrechen, bricht ab, brach ab, hat abgebrochen	abbrechen, bricht ab, brach ab, hat abgebrochen		verb	B2+	прерывание	to break off, stop
abdecken, deckt ab, deckte ab, hat abgedeckt	abdecken, deckt ab, deckte ab, hat abgedeckt		verb	B2+	покрыть	to cover
Abend	der Abend, -e		der, adv	A1	вечер	evening; in the evening
Abendessen	das Abendessen, -		das	B2+	ужин	dinner
Abenteuer	das Abenteuer, -		das	B1	приключение	adventure
aber	aber		conj, part	A1	но	but
Abfahrt	die Abfahrt, -en		die	A1	отъезд	departure
Abfall	der Abfall, -̈e		der	B1	отходы	waste, trash
Abgabe	die Abgabe, -n		die	B2+	взимать	delivery, handing in
abgeben, gibt ab, gab ab, hat abgegeben	abgeben, gibt ab, gab ab, hat abgegeben		verb	A1	дать	to give, hand in, submit
abgehen, geht ab, ging ab, ist abgegangen	abgehen, geht ab, ging ab, ist abgegangen		verb	B2+	уйди	to come off, go off, exit, leave
Abgeordnete	die Abgeordnete		der, die	B1	депутаты	member of parliament, congress
abgrenzen, grenzt ab, grenzte ab, hat abgegrenzt	abgrenzen, grenzt ab, grenzte ab, hat abgegrenzt		verb	B2+	разграничить	to define, differentiate, distance
Abgrenzung	die Abgrenzung, -en		die	B2+	демаркация	boundary, disassociation
Abgrund	der Abgrund, -̈e		der	B2+	Бездна	abyss
abhalten, hält ab, hielt ab, hat abgehalten	abhalten, hält ab, hielt ab, hat abgehalten		verb	B2+	воздержался	to keep from
abhängen, hängt ab, hing ab, hat abgehangen	abhängen, hängt ab, hing ab, hat abgehangen		verb	B1	тусоваться	to depend
abhängig	abhängig		adj	B1	зависимый	dependent
Abhängigkeit	die Abhängigkeit, -en		die	B1	зависимость	dependence
abhauen, haut ab, hieb ab, hat abgehauen	abhauen, haut ab, hieb ab, hat abgehauen		verb	B2+	отрезал	to take off, run away
abheben, hebt ab, hob ab, hat abgehoben	abheben, hebt ab, hob ab, hat abgehoben		verb	B1	взлететь	to take off, withdraw
abholen, holt ab, holte ab, hat abgeholt	abholen, holt ab, holte ab, hat abgeholt		verb	A1	забрать	to get, fetch, pick up
Abitur	das Abitur, -e		das	B1	диплом средней школы	school leaving exam, A levels
Abkommen	das Abkommen, -		das	B2+	соглашение	agreement
Ablauf	der Ablauf, -̈e		der	B1	процесс	expiry, action
ablaufen, läuft ab, lief ab, hat abgelaufen	ablaufen, läuft ab, lief ab, hat abgelaufen		verb	B1	истекает	to run out, expire
ablegen, legt ab, legte ab, hat abgelegt	ablegen, legt ab, legte ab, hat abgelegt		verb	B2+	положил	to take off, put, file
ablehnen, lehnt ab, lehnte ab, hat abgelehnt	ablehnen, lehnt ab, lehnte ab, hat abgelehnt		verb	B1	отвергнуть	to refuse, reject, turn down
Ablehnung	die Ablehnung, -en		die	B2+	отказ	refusal, rejection
ableiten, leitet ab, leitete ab, hat abgeleitet	ableiten, leitet ab, leitete ab, hat abgeleitet		verb	B1	выводить	to derive, deduce
Ableitung	die Ableitung, -en		die	B1	вывод	derivation
ablenken, lenkt ab, lenkte ab, hat abgelenkt	ablenken, lenkt ab, lenkte ab, hat abgelenkt		verb	B2+	отвлекать	to distract, deflect
ablesen, liest ab, las ab, hat abgelesen	ablesen, liest ab, las ab, hat abgelesen		verb	B2+	прочитать	to read
ablösen, löst ab, löste ab, hat abgelöst	ablösen, löst ab, löste ab, hat abgelöst		verb	B2+	заменить	to take over, remove, peel away
Abnahme	die Abnahme, -n		die	B2+	принятие	acceptance, decrease, decline, removal
abnehmen, nimmt ab, nahm ab, hat abgenommen	abnehmen, nimmt ab, nahm ab, hat abgenommen		verb	B1	уменьшилось	to lose weight, decrease, reduce
abreisen, reist ab, reiste ab, ist abgereist	abreisen, reist ab, reiste ab, ist abgereist		verb	B2+	уехать	to depart
absagen, sagt ab, sagte ab, hat abgesagt	absagen, sagt ab, sagte ab, hat abgesagt		verb	B1	отменить	to cancel
Absatz	der Absatz, -̈e (Abs.)		der	A2	абзац	section, sales, paragraph, heel
abschaffen, schafft ab, schaffte ab, hat abgeschafft	abschaffen, schafft ab, schaffte ab, hat abgeschafft		verb	B2+	отменил	to abolish
abschalten, schaltet ab, schaltete ab, hat abgeschaltet	abschalten, schaltet ab, schaltete ab, hat abgeschaltet		verb	B2+	выключить	to switch off, turn off
Abschied	der Abschied, -e		der	B1	прощай	departure, parting
abschließen, schließt ab, schloss ab, hat abgeschlossen	abschließen, schließt ab, schloss ab, hat abgeschlossen		verb	A2	завершено	to lock, conclude
abschließend	abschließend		adv	B2+	наконец	concluding, final
Abschluss	der Abschluss, -̈e		der	B1	выпускной	end, conclusion, graduation
abschneiden, schneidet ab, schnitt ab, hat abgeschnitten	abschneiden, schneidet ab, schnitt ab, hat abgeschnitten		verb	B2+	отрезал	to cut off
Abschnitt	der Abschnitt, -e		der	B1	раздел	section, paragraph, chapter, passage
Abschreibung	die Abschreibung, -en		die	B2+	амортизация	deduction, depreciation
absehen, sieht ab, sah ab, hat abgesehen	absehen, sieht ab, sah ab, hat abgesehen		verb	B1	отвести взгляд	to foresee, be in sight
abseits	abseits		adv	B2+	офсайд	offside, off the beaten track
absetzen, setzt ab, setzte ab, hat abgesetzt	absetzen, setzt ab, setzte ab, hat abgesetzt		verb	B2+	положил	to drop off, dismiss
Absicht	die Absicht, -en		die	B1	намерение	intention
absolut	absolut		adj	B1	абсолютно	absolute, complete
absolvieren, absolviert, absolvierte, hat absolviert	absolvieren, absolviert, absolvierte, hat absolviert		verb	B2+	выпускник	to complete, graduate
abspielen, spielt ab, spielte ab, hat abgespielt	abspielen, spielt ab, spielte ab, hat abgespielt		verb	B2+	играть	to play
Abstand	der Abstand, -̈e		der	B1	расстояние	distance
abstellen, stellt ab, stellte ab, hat abgestellt	abstellen, stellt ab, stellte ab, hat abgestellt		verb	B2+	выключить	to turn off, shut down, park, put
Abstieg	der Abstieg, -e		der	B2+	спуск	descent
abstimmen, stimmt ab, stimmte ab, hat abgestimmt	abstimmen, stimmt ab, stimmte ab, hat abgestimmt		verb	B1	голосовать	to vote, coordinate
Abstimmung	die Abstimmung, -en		die	B2+	голосовать	vote, coordination
abstrakt	abstrakt		adj	B2+	абстрактный	abstract
absurd	absurd		adj	B2+	абсурдный	absurd
