Word	Annotation	Sense	Part of Speech	Level	English
ab	ab		prep	A1	off, away
ab	ab		adv	A1	off, away
Abbau	der Abbau, -e		der	B2+	reduction, decline, mining
abbauen, baut ab, baute ab, hat abgebaut	abbauen, baut ab, baute ab, hat abgebaut		verb	B1	to reduce, dismantle
abbilden, bildet ab, bildete ab, hat abgebildet	abbilden, bildet ab, bildete ab, hat abgebildet		verb	B2+	to copy, portray
Abbildung	die Abbildung, -en (Abb.)		die	B1	illustration
abbrechen, bricht ab, brach ab, hat abgebrochen	abbrechen, bricht ab, brach ab, hat abgebrochen		verb	B2+	to break off, stop
abdecken, deckt ab, deckte ab, hat abgedeckt	abdecken, deckt ab, deckte ab, hat abgedeckt		verb	B2+	to cover
Abend	der Abend, -e		der, adv	A1	evening; in the evening
Abendessen	das Abendessen, -		das	B2+	dinner
Abenteuer	das Abenteuer, -		das	B1	adventure
aber	aber		conj, part	A1	but
Abfahrt	die Abfahrt, -en		die	A1	departure
Abfall	der Abfall, -̈e		der	B1	waste, trash
Abgabe	die Abgabe, -n		die	B2+	delivery, handing in
abgeben, gibt ab, gab ab, hat abgegeben	abgeben, gibt ab, gab ab, hat abgegeben		verb	A1	to give, hand in, submit
abgehen, geht ab, ging ab, ist abgegangen	abgehen, geht ab, ging ab, ist abgegangen		verb	B2+	to come off, go off, exit, leave
Abgeordnete	die Abgeordnete		der, die	B1	member of parliament, congress
abgrenzen, grenzt ab, grenzte ab, hat abgegrenzt	abgrenzen, grenzt ab, grenzte ab, hat abgegrenzt		verb	B2+	to define, differentiate, distance
Abgrenzung	die Abgrenzung, -en		die	B2+	boundary, disassociation
Abgrund	der Abgrund, -̈e		der	B2+	abyss
abhalten, hält ab, hielt ab, hat abgehalten	abhalten, hält ab, hielt ab, hat abgehalten		verb	B2+	to keep from
abhängen, hängt ab, hing ab, hat abgehangen	abhängen, hängt ab, hing ab, hat abgehangen		verb	B1	to depend
abhängig	abhängig		adj	B1	dependent
Abhängigkeit	die Abhängigkeit, -en		die	B1	dependence
abhauen, haut ab, hieb ab, hat abgehauen	abhauen, haut ab, hieb ab, hat abgehauen		verb	B2+	to take off, run away
abheben, hebt ab, hob ab, hat abgehoben	abheben, hebt ab, hob ab, hat abgehoben		verb	B1	to take off, withdraw
abholen, holt ab, holte ab, hat abgeholt	abholen, holt ab, holte ab, hat abgeholt		verb	A1	to get, fetch, pick up
Abitur	das Abitur, -e		das	B1	school leaving exam, A levels
Abkommen	das Abkommen, -		das	B2+	agreement
Ablauf	der Ablauf, -̈e		der	B1	expiry, action
ablaufen, läuft ab, lief ab, hat abgelaufen	ablaufen, läuft ab, lief ab, hat abgelaufen		verb	B1	to run out, expire
ablegen, legt ab, legte ab, hat abgelegt	ablegen, legt ab, legte ab, hat abgelegt		verb	B2+	to take off, put, file
ablehnen, lehnt ab, lehnte ab, hat abgelehnt	ablehnen, lehnt ab, lehnte ab, hat abgelehnt		verb	B1	to refuse, reject, turn down
Ablehnung	die Ablehnung, -en		die	B2+	refusal, rejection
ableiten, leitet ab, leitete ab, hat abgeleitet	ableiten, leitet ab, leitete ab, hat abgeleitet		verb	B1	to derive, deduce
Ableitung	die Ableitung, -en		die	B1	derivation
ablenken, lenkt ab, lenkte ab, hat abgelenkt	ablenken, lenkt ab, lenkte ab, hat abgelenkt		verb	B2+	to distract, deflect
ablesen, liest ab, las ab, hat abgelesen	ablesen, liest ab, las ab, hat abgelesen		verb	B2+	to read
ablösen, löst ab, löste ab, hat abgelöst	ablösen, löst ab, löste ab, hat abgelöst		verb	B2+	to take over, remove, peel away
Abnahme	die Abnahme, -n		die	B2+	acceptance, decrease, decline, removal
abnehmen, nimmt ab, nahm ab, hat abgenommen	abnehmen, nimmt ab, nahm ab, hat abgenommen		verb	B1	to lose weight, decrease, reduce
abreisen, reist ab, reiste ab, ist abgereist	abreisen, reist ab, reiste ab, ist abgereist		verb	B2+	to depart
