Word	Annotation	Sense	Part of Speech	Level	English	Russian
der	der		art, pron, pron	A1	the; that, those; who, that	определенный артикль; тот; который
und	und		conj	A1	and	и
in	in		prep	A1	in	в
sein, ist, war, ist gewesen	sein, ist, war, ist gewesen		verb, aux	A1	to be; (past tense)	быть
ein	ein		art, pron	A1	a, an; one (of)	неопределенный артикль; один
haben, hat, hatte, hat gehabt	haben, hat, hatte, hat gehabt		verb, aux	A1	to have; (past tense)	иметь
sie	sie		pron, pron, pron	A1	she, her; they, them; you	она; они; вы
werden, wird, wurde, ist geworden	werden, wird, wurde, ist geworden		verb, aux, aux	A1	to become, get; (future tense); (passive voice)	становиться; будущее время; быть
von	von		prep	A1	from, of	от
ich	ich		pron	A1	I	я
nicht	nicht		part	A1	not	не
es	es		pron	A1	it	он
mit	mit		prep	A1	with	с
sich	sich		pron	A1	-self	себя
er	er		pron	A1	he	он
auf	auf		prep	A1	on, at, to	на
für	für		prep	A1	for	для
auch	auch		adv	A1	also, too	также
an	an		prep	A1	at, on	на
dass	dass		conj	A1	that	что
zu	zu		part, prep, part	A1	to; to; too	инфинитивная частица; к; слишком
als	als		conj, part	A1	as, when; than	когда; чем; как
können, kann, konnte, hat gekonnt	können, kann, konnte, hat gekonnt		verb	A1	to be able to, can	мочь
dies	dies		pron	A1	this, that	этот
wie	wie		pron, part	A1	how; as	как
wir	wir		pron	A1	we	мы
ihr	ihr		pron, pron, pron	A1	you, her; her, their, hers, theirs; your	её; их; ваш
so	so		adv, part	A1	so, thus, the way, such; so	так
bei	bei		prep	A1	by, with, at	у
sein	sein		pron	A1	his, its	свой
aber	aber		conj, part	A1	but	но; же
man	man		pron	A1	one, you, they	можно
noch	noch		adv	A1	still, yet	ещё
nach	nach		prep	A1	after, toward	после
oder	oder		conj	A1	or	или
all	all		pron	A1	all	весь
aus	aus		prep	A1	out, out of, from	из
was	was		pron	A1	what	что
nur	nur		adv	A1	only	только
sagen, sagt, sagte, hat gesagt	sagen, sagt, sagte, hat gesagt		verb	A1	to say, tell	говорить
dann	dann		adv	A1	then	затем
wenn	wenn		conj	A1	if, when	когда
müssen, muss, musste, hat gemusst	müssen, muss, musste, hat gemusst		verb	A1	to have to, must	долженствовать
um	um		prep, conj	A1	around, at; in order to	вокруг; чтобы
ja	ja		part	A1	yes, of course	да
kein	kein		pron	A1	no	никакой
über	über		prep	A1	above, over, about	над
da	da		adv, conj	A1	there; because	там; поскольку
geben, gibt, gab, hat gegeben	geben, gibt, gab, hat gegeben		verb	A1	to give	давать
vor	vor		prep	A1	in front of, before, ago	перед
mein	mein		pron	A1	my, mine	мой
mehr	mehr		adv	A1	more	больше
Jahr	das Jahr, -e		das	A1	year	год
du	du		pron	A1	you	ты
durch	durch		prep	A1	through	через
viel	viel		pron	A1	much, a lot, many	много
wollen, will, wollte, hat gewollt	wollen, will, wollte, hat gewollt		verb	A1	to want to	хотеть
machen, macht, machte, hat gemacht	machen, macht, machte, hat gemacht		verb	A1	to do, make	делать
andere	andere (r, s)		pron	A1	other	другой
sollen, soll, sollte, hat gesollt	sollen, soll, sollte, hat gesollt		verb	A1	should, ought to	долженствовать
schon	schon		adv, part	A1	already	уже; всё же
kommen, kommt, kam, ist gekommen	kommen, kommt, kam, ist gekommen		verb	A1	to come	приходить
mir	mir		pron	A1	me	я
immer	immer		adv	A1	always	всегда
mich	mich		pron, (Reflexive pronoun in the acc.)	A1	me	я; себя
gehen, geht, ging, ist gegangen	gehen, geht, ging, ist gegangen		verb	A1	to go	идти
groß	groß		adj	A1	big, large, great	большой
hier	hier		adv	A1	here	здесь
ganz	ganz		adj, part	A2	whole, all the; quite	весь; вполне
zwei	zwei		num	A1	two	два
also	also		adv	A1	so	значит
jetzt	jetzt		adv	A1	now	сейчас
doch	doch		adv, part	A1	however, but	но; же
wieder	wieder		adv	A2	again	снова
uns	uns		pron	A1	us, we	мы
gut	gut		adj	A1	good	хороший
bis	bis		prep, conj	A1	until, till; until	до; пока
wissen, weiß, wusste, hat gewusst	wissen, weiß, wusste, hat gewusst		verb	A1	to know	знать
sehen, sieht, sah, hat gesehen	sehen, sieht, sah, hat gesehen		verb	A1	to see	видеть
einer	einer		pron	A1	(some)one	один
sehr	sehr		adv	A1	very	очень
Mal	Mal		das, conj, part	A1	time, mark; times	пятно; раз; как-то
lassen, lässt, ließ, hat gelassen	lassen, lässt, ließ, hat gelassen		verb	A2	to let, allow, have done	позволять
neu	neu		adj	A1	new	новый
stehen, steht, stand, hat gestanden	stehen, steht, stand, hat gestanden		verb	A1	to stand	стоять
unser	unser		pron	A1	our	наш
jede	jede (r, s)		pron	A1	every	каждый
weil	weil		conj	A1	because	потому что
unter	unter		prep	A1	under	под
Mensch	der Mensch, -en		der	A1	human being	человек
ihm	ihm		pron	A1	him	он
ihn	ihn		pron	A1	him	он
denn	denn		conj, part	A1	because; anyway	потому что; же
Beispiel	das Beispiel, -e		das	A1	example	пример
erste	erste (r, s)		adj	A1	first	первый
Zeit	die Zeit, -en		die	A1	time	время
lang	lang		adj, adv	A1	long; for a long time	длинный; долго
leben, lebt, lebte, hat gelebt	leben, lebt, lebte, hat gelebt		verb	A1	to live	жить
Frau	die Frau, -en		die	A1	woman, wife, Mrs.	женщина
etwas	etwas		pron	A2	something, some, a little	кое-что
selbst, selber	selbst, selber		pron, part	A2	-self; even	сам; даже
wenig	wenig		adj, pron	A1	few; little, few	немногий; мало
finden, findet, fand, hat gefunden	finden, findet, fand, hat gefunden		verb	A1	to find	находить
gegen	gegen		prep	A1	against	против
zwischen	zwischen		prep	A1	between	между
drei	drei		num	A1	three	три
liegen, liegt, lag, hat gelegen	liegen, liegt, lag, hat gelegen		verb	A1	to lie	лежать
wo	wo		pron	A1	where	где
nichts, nix	nichts, nix		pron	A1	nothing	ничто
klein	klein		adj	A1	small, little	маленький
Tag	der Tag, -e		der	A1	day	день
deutsch	deutsch		adj, das	A1	German; German	немецкий
bleiben, bleibt, blieb, ist geblieben	bleiben, bleibt, blieb, ist geblieben		verb	A1	to stay, remain	оставаться
nun, nu	nun, nu		adv	A1	now	теперь
sondern	sondern		conj	B1	but (on the contrary)	а
heute	heute		adv	A1	today	сегодня
beide	beide		pron	A1	both	оба
hoch	hoch		adj	A1	high, tall	высокий
damit	damit		pron	B1	so that	этим
ohne	ohne		prep, conj	A1	without; without	без; не
Mann	der Mann, -̈er		der	A1	man	мужчина
welch	welch, -e, -er, -es		pron	A1	which	какой
tun, tut, tat, hat getan	tun, tut, tat, hat getan		verb	A1	to do	делать
einmal	einmal		adv	A1	once	однажды
ihnen	ihnen		pron, pron	A1	them; you	они; вы
heißen, heißt, hieß, hat geheißen	heißen, heißt, hieß, hat geheißen		verb	A1	to be called	называться
ob	ob		conj	B1	whether, if	ли
denken, denkt, dachte, hat gedacht	denken, denkt, dachte, hat gedacht		verb	A2	to think	думать
dabei	dabei		pron	A2	with it, there	присутствовать
seit	seit		prep	A1	since, for	с
einfach	einfach		adj, part	A1	simple, easy; simply	простой; просто
erst	erst		adv, part	A1	first, only, not until	сначала; только
Kind	das Kind, -er		das	A1	child	ребенок
Land	das Land, -̈er		das	A1	land, country, state	страна
stellen, stellt, stellte, hat gestellt	stellen, stellt, stellte, hat gestellt		verb	A1	to place, set, put	ставить
zeigen, zeigt, zeigte, hat gezeigt	zeigen, zeigt, zeigte, hat gezeigt		verb	A2	to show	показывать
natürlich	natürlich		adj, adv	A2	natural; naturally, of course	естественный; конечно
alt	alt		adj	A1	old	старый
dort	dort		adv	A1	there	там
Deutschland	Deutschland		das	A1	Germany	Германия
gleich	gleich		adj	A1	same, right away, just	одинаковый
nehmen, nimmt, nahm, hat genommen	nehmen, nimmt, nahm, hat genommen		verb	A1	to take	брать
