Word	Annotation	Sense	Part of Speech	Level	English
der	der		art, pron, pron	A1	the; that, those; who, that
und	und		conj	A1	and
in	in		prep	A1	in
sein, ist, war, ist gewesen	sein, ist, war, ist gewesen		verb, aux	A1	to be; (past tense)
ein	ein		art, pron	A1	a, an; one (of)
haben, hat, hatte, hat gehabt	haben, hat, hatte, hat gehabt		verb, aux	A1	to have; (past tense)
sie	sie		pron, pron, pron	A1	she, her; they, them; you
werden, wird, wurde, ist geworden	werden, wird, wurde, ist geworden		verb, aux, aux	A1	to become, get; (future tense); (passive voice)
von	von		prep	A1	from, of
ich	ich		pron	A1	I
nicht	nicht		part	A1	not
es	es		pron	A1	it
mit	mit		prep	A1	with
sich	sich		pron	A1	-self
er	er		pron	A1	he
auf	auf		prep	A1	on, at, to
für	für		prep	A1	for
auch	auch		adv	A1	also, too
an	an		prep	A1	at, on
dass	dass		conj	A1	that
zu	zu		part, prep, part	A1	to; to; too
als	als		conj, part	A1	as, when; than
können, kann, konnte, hat gekonnt	können, kann, konnte, hat gekonnt		verb	A1	to be able to, can
dies	dies		pron	A1	this, that
wie	wie		pron, part	A1	how; as
wir	wir		pron	A1	we
ihr	ihr		pron, pron, pron	A1	you, her; her, their, hers, theirs; your
so	so		adv, part	A1	so, thus, the way, such; so
bei	bei		prep	A1	by, with, at
sein	sein		pron	A1	his, its
aber	aber		conj, part	A1	but
man	man		pron	A1	one, you, they
noch	noch		adv	A1	still, yet
nach	nach		prep	A1	after, toward
oder	oder		conj	A1	or
all	all		pron	A1	all
aus	aus		prep	A1	out, out of, from
was	was		pron	A1	what
nur	nur		adv	A1	only
sagen, sagt, sagte, hat gesagt	sagen, sagt, sagte, hat gesagt		verb	A1	to say, tell
dann	dann		adv	A1	then
wenn	wenn		conj	A1	if, when
müssen, muss, musste, hat gemusst	müssen, muss, musste, hat gemusst		verb	A1	to have to, must
um	um		prep, conj	A1	around, at; in order to
ja	ja		part	A1	yes, of course
kein	kein		pron	A1	no
über	über		prep	A1	above, over, about
da	da		adv, conj	A1	there; because
geben, gibt, gab, hat gegeben	geben, gibt, gab, hat gegeben		verb	A1	to give
vor	vor		prep	A1	in front of, before, ago
mein	mein		pron	A1	my, mine
mehr	mehr		adv	A1	more
Jahr	das Jahr, -e		das	A1	year
du	du		pron	A1	you
durch	durch		prep	A1	through
viel	viel		pron	A1	much, a lot, many
wollen, will, wollte, hat gewollt	wollen, will, wollte, hat gewollt		verb	A1	to want to
machen, macht, machte, hat gemacht	machen, macht, machte, hat gemacht		verb	A1	to do, make
andere	andere (r, s)		pron	A1	other
sollen, soll, sollte, hat gesollt	sollen, soll, sollte, hat gesollt		verb	A1	should, ought to
schon	schon		adv, part	A1	already
kommen, kommt, kam, ist gekommen	kommen, kommt, kam, ist gekommen		verb	A1	to come
mir	mir		pron	A1	me
immer	immer		adv	A1	always
mich	mich		pron, (Reflexive pronoun in the acc.)	A1	me
gehen, geht, ging, ist gegangen	gehen, geht, ging, ist gegangen		verb	A1	to go
groß	groß		adj	A1	big, large, great
hier	hier		adv	A1	here
ganz	ganz		adj, part	A2	whole, all the; quite
zwei	zwei		num	A1	two
also	also		adv	A1	so
jetzt	jetzt		adv	A1	now
doch	doch		adv, part	A1	however, but
wieder	wieder		adv	A2	again
uns	uns		pron	A1	us, we
gut	gut		adj	A1	good
bis	bis		prep, conj	A1	until, till; until
wissen, weiß, wusste, hat gewusst	wissen, weiß, wusste, hat gewusst		verb	A1	to know
sehen, sieht, sah, hat gesehen	sehen, sieht, sah, hat gesehen		verb	A1	to see
einer	einer		pron	A1	(some)one
sehr	sehr		adv	A1	very
Mal	Mal		das, conj, part	A1	time, mark; times
lassen, lässt, ließ, hat gelassen	lassen, lässt, ließ, hat gelassen		verb	A2	to let, allow, have done
neu	neu		adj	A1	new
stehen, steht, stand, hat gestanden	stehen, steht, stand, hat gestanden		verb	A1	to stand
unser	unser		pron	A1	our
jede	jede (r, s)		pron	A1	every
weil	weil		conj	A1	because
unter	unter		prep	A1	under
Mensch	der Mensch, -en		der	A1	human being
ihm	ihm		pron	A1	him
ihn	ihn		pron	A1	him
denn	denn		conj, part	A1	because; anyway
Beispiel	das Beispiel, -e		das	A1	example
erste	erste (r, s)		adj	A1	first
Zeit	die Zeit, -en		die	A1	time
lang	lang		adj, adv	A1	long; for a long time
leben, lebt, lebte, hat gelebt	leben, lebt, lebte, hat gelebt		verb	A1	to live
Frau	die Frau, -en		die	A1	woman, wife, Mrs.
etwas	etwas		pron	A2	something, some, a little
selbst, selber	selbst, selber		pron, part	A2	-self; even
wenig	wenig		adj, pron	A1	few; little, few
finden, findet, fand, hat gefunden	finden, findet, fand, hat gefunden		verb	A1	to find
gegen	gegen		prep	A1	against
zwischen	zwischen		prep	A1	between
drei	drei		num	A1	three
liegen, liegt, lag, hat gelegen	liegen, liegt, lag, hat gelegen		verb	A1	to lie
wo	wo		pron	A1	where
nichts, nix	nichts, nix		pron	A1	nothing
klein	klein		adj	A1	small, little
Tag	der Tag, -e		der	A1	day
deutsch	deutsch		adj, das	A1	German; German
bleiben, bleibt, blieb, ist geblieben	bleiben, bleibt, blieb, ist geblieben		verb	A1	to stay, remain
nun, nu	nun, nu		adv	A1	now
sondern	sondern		conj	B1	but (on the contrary)
heute	heute		adv	A1	today
beide	beide		pron	A1	both
hoch	hoch		adj	A1	high, tall
damit	damit		pron	B1	so that
ohne	ohne		prep, conj	A1	without; without
Mann	der Mann, -̈er		der	A1	man
welch	welch, -e, -er, -es		pron	A1	which
tun, tut, tat, hat getan	tun, tut, tat, hat getan		verb	A1	to do
einmal	einmal		adv	A1	once
ihnen	ihnen		pron, pron	A1	them; you
heißen, heißt, hieß, hat geheißen	heißen, heißt, hieß, hat geheißen		verb	A1	to be called
ob	ob		conj	B1	whether, if
denken, denkt, dachte, hat gedacht	denken, denkt, dachte, hat gedacht		verb	A2	to think
dabei	dabei		pron	A2	with it, there
seit	seit		prep	A1	since, for
einfach	einfach		adj, part	A1	simple, easy; simply
erst	erst		adv, part	A1	first, only, not until
Kind	das Kind, -er		das	A1	child
Land	das Land, -̈er		das	A1	land, country, state
stellen, stellt, stellte, hat gestellt	stellen, stellt, stellte, hat gestellt		verb	A1	to place, set, put
zeigen, zeigt, zeigte, hat gezeigt	zeigen, zeigt, zeigte, hat gezeigt		verb	A2	to show
natürlich	natürlich		adj, adv	A2	natural; naturally, of course
alt	alt		adj	A1	old
dort	dort		adv	A1	there
Deutschland	Deutschland		das	A1	Germany
gleich	gleich		adj	A1	same, right away, just
nehmen, nimmt, nahm, hat genommen	nehmen, nimmt, nahm, hat genommen		verb	A1	to take
dürfen, darf, durfte, hat gedurft	dürfen, darf, durfte, hat gedurft		verb	A1	to be allowed to may
wichtig	wichtig		adj	A1	important
vielleicht	vielleicht		adv, part	A1	perhaps, maybe
hören, hört, hörte, hat gehört	hören, hört, hörte, hat gehört		verb	A1	to hear
Haus	das Haus, -̈er		das	A1	house
nein, nee, nö	nein, nee, nö		part	A1	no
wer	wer		pron	A1	who, whoever
dazu	dazu		pron	A1	in addition, furthermore, to that, for that
eigentlich	eigentlich		adj, adv, part	A2	actual, real; actually
letzte	letzte (r, s)		adj	A1	last
fragen, fragt, fragte, hat gefragt	fragen, fragt, fragte, hat gefragt		verb	A1	to ask
Herr	der Herr, -en		der	A1	Mr.
halten, hält, hielt, hat gehalten	halten, hält, hielt, hat gehalten		verb	A1	to stop, hold
glauben, glaubt, glaubte, hat geglaubt	glauben, glaubt, glaubte, hat geglaubt		verb	A1	to believe
Frage	die Frage, -n		die	A1	question
gelten, gilt, galt, hat gegolten	gelten, gilt, galt, hat gegolten		verb	B1	to be valid
gerade	gerade		adj, adv	A1	straight; just, just now, right now
folgen, folgt, folgte, ist gefolgt	folgen, folgt, folgte, ist gefolgt		verb	B1	to follow
sprechen, spricht, sprach, hat gesprochen	sprechen, spricht, sprach, hat gesprochen		verb	A1	to speak
führen, führt, führte, hat geführt	führen, führt, führte, hat geführt		verb	B1	to lead
bringen, bringt, brachte, hat gebracht	bringen, bringt, brachte, hat gebracht		verb	A1	to bring, take
Welt	die Welt, -en		die	A1	world
gar	gar		adv	A1	at all
eigen	eigen		adj	A2	own
genau	genau		adj	A2	exact
mögen, mag, mochte, hat gemocht	mögen, mag, mochte, hat gemocht		verb	A1	to like
spät	spät		adj, adj	A1	late; later
bereits	bereits		adv	B1	already
möglich	möglich		adj, adv	A1	possible; as . . . as possible, if possible
Prozent	das Prozent, -e		das	A1	percent
während	während		prep, conj	B1	during, while; while, whereas
einige	einige		pron	A1	a few, some
dafür	dafür		pron	A2	for it, for that
kurz	kurz		adj	A1	short
richtig	richtig		adj	A1	correct, right
stark	stark		adj	A2	strong
brauchen, braucht, brauchte, hat gebraucht	brauchen, braucht, brauchte, hat gebraucht		verb	A1	to need
Hand	die Hand, -̈e		die	A1	hand
etwa	etwa		adv, part	B1	about, approximately; after all
weitere	weitere (r, s)		adj	A1	additional, further
Ende	das Ende, -n		das	A1	end
schreiben, schreibt, schrieb, hat geschrieben	schreiben, schreibt, schrieb, hat geschrieben		verb	A1	to write
solch	solch		pron	B1	such
nie	nie		adv	A1	never
Fall	der Fall, -̈e		der	B1	fall, case
schön	schön		adj	A1	beautiful, pleasant, good
wirklich	wirklich		adj, adv	A2	real, actual; really, actually
denen	denen		pron	A1	whom, that
nennen, nennt, nannte, hat genannt	nennen, nennt, nannte, hat genannt		verb	A2	to name, call
warum	warum		adv	A1	why
ziehen, zieht, zog, hat gezogen	ziehen, zieht, zog, hat gezogen		verb	B1	to pull, move
Wort	das Wort, -̈er		das	A1	word
darauf, drauf	darauf, drauf		pron	A1	on it, to it
eben, ebend	eben, ebend		adv, part	B1	just, now
Seite	die Seite, -n		die	A2	side, page
Teil	das Teil, -e		der, das	A1	part
jung	jung		adj	A1	young
vier	vier		num	A1	four
besser	besser		adj	A1	better
fast	fast		adv	A2	almost
schnell	schnell		adj	A1	fast
Stadt	die Stadt, -̈e		die	A1	city, town
spielen, spielt, spielte, hat gespielt	spielen, spielt, spielte, hat gespielt		verb	A1	to play
zwar	zwar		adv	B1	admittedly, to be precise
Euro	der Euro, -s		der	A1	euro (unit of currency)
Arbeit	die Arbeit, -en		die	A1	work
Million, Mio.	Million, Mio.		die	A1	million
Problem	das Problem, -e		das	A1	problem
verstehen, versteht, verstand, hat verstanden	verstehen, versteht, verstand, hat verstanden		verb	A1	to understand
bekommen, bekommt, bekam, hat bekommen	bekommen, bekommt, bekam, hat bekommen		verb	A1	to get, receive
meinen, meint, meinte, hat gemeint	meinen, meint, meinte, hat gemeint		verb	A1	to think, have an opinion
davon	davon		pron	A1	from it, about it, thereof
fahren, fährt, fuhr, ist gefahren	fahren, fährt, fuhr, ist gefahren		verb	A1	to drive, ride, go
kennen, kennt, kannte, hat gekannt	kennen, kennt, kannte, hat gekannt		verb	A1	to know
dich	dich		pron	A1	you, yourself
Mutter	die Mutter, -̈		die	A1	mother
Woche	die Woche, -n		die	A1	week
Weg	der Weg, -e		der	A1	path, way
weiter	weiter		adv	A1	further
Auge	das Auge, -n		das	A1	eye
oft	oft		adv	A1	often
Leute	Leute		die (pl)	A1	people
allerdings	allerdings		adv	B1	though, indeed, certainly
sogar	sogar		adv	A2	even, in fact
jedoch	jedoch		adv	B1	however
setzen, setzt, setzte, hat gesetzt	setzen, setzt, setzte, hat gesetzt		verb, verb	A2	to set, place, put; to sit down
deshalb	deshalb		adv	A2	therefore
weit	weit		adj	A1	widely, far
sitzen, sitzt, saß, hat gesessen	sitzen, sitzt, saß, hat gesessen		verb	A1	to sit
Vater	der Vater, -̈		der	A1	father
dein	dein		pron	A1	your
arbeiten, arbeitet, arbeitete, hat gearbeitet	arbeiten, arbeitet, arbeitete, hat gearbeitet		verb	A1	to work
Geld	das Geld, -er		das	A1	money
Unternehmen	das Unternehmen, -		das	A2	enterprise, company
nächste	nächste (r, s)		adj	A2	next
erklären, erklärt, erklärte, hat erklärt	erklären, erklärt, erklärte, hat erklärt		verb	A1	to explain
klar	klar		adj	A1	clear
Doktor	der Doktor, -en (Dr.)		der	A1	doctor
Paar	das Paar, -e		das, pron	A2	pair, couple; a few
Recht	das Recht, -e		das, adj, part	B1	right, law; all right; rather, quite
wegen	wegen		prep	A2	because of
dir	dir		pron	A1	you
Wasser	das Wasser, -		das	A1	water
bestehen, besteht, bestand, hat bestanden	bestehen, besteht, bestand, hat bestanden		verb	A2	to exist, insist, pass (an exam)
versuchen, versucht, versuchte, hat versucht	versuchen, versucht, versuchte, hat versucht		verb	A2	to try, attempt
Punkt	der Punkt, -e		der	B1	dot, point, period
Grund	der Grund, -̈e		der	B1	reason, basis
Kopf	der Kopf, -̈e		der	A1	head
beginnen, beginnt, begann, hat begonnen	beginnen, beginnt, begann, hat begonnen		verb	A1	to begin
laufen, läuft, lief, ist gelaufen	laufen, läuft, lief, ist gelaufen		verb	A1	to run
Bild	das Bild, -er		das	A1	picture
verschieden	verschieden		adj	A2	different, diverse
Name	der Name, -n		der	A1	name
Aufgabe	die Aufgabe, -n		die	A1	task, assignment, job
schwer	schwer		adj	A1	difficult, heavy
entsprechen, entspricht, entsprach, hat entsprochen	entsprechen, entspricht, entsprach, hat entsprochen		verb	A1	to correspond
treffen, trifft, traf, hat getroffen	treffen, trifft, traf, hat getroffen		verb	A2	to meet
Art	die Art, -en		die	A1	type, kind
wohl	wohl		adv, part	B1	well; probably
Geschichte	die Geschichte, -n		die	A2	history, story
erzählen, erzählt, erzählte, hat erzählt	erzählen, erzählt, erzählte, hat erzählt		verb	A1	to tell
entstehen, entsteht, entstand, ist entstanden	entstehen, entsteht, entstand, ist entstanden		verb	B1	to originate, develop
sicher	sicher		adj	A2	safe, secure, certain
neben	neben		prep	A2	next to, beside
allein, alleine	allein, alleine		adv	A1	alone
